W,min_W_prime,eta,chi
[-0.4330127018922192],[-0.4752718238357052],[0.2617993877991494],[0.9005462097364014]
[-0.4330127018922192],[-0.47639471745720524],[0.2617993877991494],[0.9181843707116251]
[-0.4330127018922192],[-0.47750428431153336],[0.2617993877991494],[0.9358225316868486]
[-0.4330127018922192],[-0.4785992412255284],[0.2617993877991494],[0.9534606926620721]
[-0.4330127018922192],[-0.4796783304269459],[0.2617993877991494],[0.9710988536372956]
[-0.4330127018922192],[-0.48074032054261706],[0.2617993877991494],[0.9887370146125193]
[-0.4330127018922192],[-0.4817840075433859],[0.2617993877991494],[1.0063751755877428]
[-0.4330127018922192],[-0.48280821563767307],[0.2617993877991494],[1.0240133365629662]
[-0.4330127018922192],[-0.4838117981155239],[0.2617993877991494],[1.0416514975381899]
[-0.4330127018922192],[-0.4847936381450142],[0.2617993877991494],[1.0592896585134133]
[-0.43301270189221924],[-0.4857526495228797],[0.2617993877991494],[1.076927819488637]
[-0.4330127018922192],[-0.4866877773812245],[0.2617993877991494],[1.0945659804638606]
[-0.4330127018922192],[-0.48759799885213867],[0.2617993877991494],[1.112204141439084]
[-0.4330127018922192],[-0.4884823236920273],[0.2617993877991494],[1.1298423024143076]
[-0.4330127018922192],[-0.4893397948674148],[0.2617993877991494],[1.1474804633895312]
[-0.4330127018922192],[-0.4901694891039462],[0.2617993877991494],[1.1651186243647547]
[-0.4330127018922192],[-0.4909705174002563],[0.2617993877991494],[1.1827567853399783]
[-0.4330127018922192],[-0.49174202550832713],[0.2617993877991494],[1.200394946315202]
[-0.4330127018922192],[-0.4924831943818957],[0.2617993877991494],[1.2180331072904254]
[-0.4330127018922192],[-0.4931932405944148],[0.2617993877991494],[1.235671268265649]
[-0.4330127018922192],[-0.4938714167280067],[0.2617993877991494],[1.2533094292408724]
[-0.4330127018922192],[-0.4945170117347849],[0.2617993877991494],[1.270947590216096]
[-0.4330127018922192],[-0.49512935127185403],[0.2617993877991494],[1.2885857511913197]
[-0.4330127018922192],[-0.4957077980112282],[0.2617993877991494],[1.306223912166543]
[-0.4330127018922192],[-0.4962517519258432],[0.2617993877991494],[1.3238620731417667]
[-0.4330127018922192],[-0.49676065055276464],[0.2617993877991494],[1.3415002341169904]
[-0.4330127018922192],[-0.4972339692346313],[0.2617993877991494],[1.3591383950922138]
[-0.4330127018922192],[-0.49767122134029557],[0.2617993877991494],[1.3767765560674374]
[-0.4330127018922192],[-0.4980719584655617],[0.2617993877991494],[1.394414717042661]
[-0.4330127018922192],[-0.49843577061484834],[0.2617993877991494],[1.4120528780178845]
[-0.4330127018922192],[-0.4987622863645349],[0.2617993877991494],[1.4296910389931081]
[-0.4330127018922192],[-0.4990511730086845],[0.2617993877991494],[1.4473291999683318]
[-0.4330127018922192],[-0.4993021366877647],[0.2617993877991494],[1.4649673609435552]
[-0.43301270189221924],[-0.4995149225009246],[0.2617993877991494],[1.4826055219187788]
[-0.4330127018922192],[-0.4996893146023169],[0.2617993877991494],[1.5002436828940022]
[-0.4330127018922192],[-0.4998251362818879],[0.2617993877991494],[1.5178818438692259]
[-0.43301270189221924],[-0.4999222500309922],[0.2617993877991494],[1.5355200048444495]
[-0.4330127018922192],[-0.49998055759312543],[0.2617993877991494],[1.553158165819673]
[-0.4330127018922192],[-0.4999999999999999],[0.2617993877991494],[1.5707963267948966]
