W,min_W_prime,eta,chi
[-8.326672684688672e-17],[-0.48884197921547756],[0.7853981633974483],[1.3591383950922138]
[-8.326672684688672e-17],[-0.4906185669146308],[0.7853981633974483],[1.3767765560674374]
[-2.7755575615628907e-17],[-0.4922425248176768],[0.7853981633974483],[1.394414717042661]
[-5.5511151231257815e-17],[-0.4937133477167403],[0.7853981633974483],[1.4120528780178845]
[-5.5511151231257815e-17],[-0.4950305780437343],[0.7853981633974483],[1.4296910389931081]
[0.0],[-0.49619380601270746],[0.7853981633974483],[1.4473291999683318]
[-2.7755575615628907e-17],[-0.4972026697473268],[0.7853981633974483],[1.4649673609435552]
[-2.7755575615628907e-17],[-0.4980568553934571],[0.7853981633974483],[1.4826055219187788]
[0.0],[-0.49875609721679937],[0.7853981633974483],[1.5002436828940022]
[-2.7755575615628907e-17],[-0.4993001776855598],[0.7853981633974483],[1.5178818438692259]
[-5.5511151231257815e-17],[-0.4996889275381231],[0.7853981633974483],[1.5355200048444495]
[-2.7755575615628907e-17],[-0.4999222258357101],[0.7853981633974483],[1.553158165819673]
[-2.7755575615628907e-17],[-0.4999999999999999],[0.7853981633974483],[1.5707963267948966]
