QP,phi,unc,DL,DR,RR,RL,DLu,DRu,RRu,RLu
33.97959183673469,288.4144975231638,0.7348403447076187,107.4,1284.2,879.2,487.4,4.654030511288038,13.10877568653915,11.337548235840057,10.698598038995575
34.89795918367347,305.5551187653752,0.47842887330660655,195.8,1190.0,1032.4,321.8,5.228766584960549,7.496665925596525,6.384355879804947,7.690253571892152
35.816326530612244,319.93140405269537,1.06132020018369,304.8,1076.8,1126.4,208.6,4.17612260356422,15.695222202950807,21.29225211197726,6.43117407632541
36.734693877551024,336.9195808533597,1.4745146414423178,441.6,915.8,1216.2,103.4,8.35224520712844,22.957351763650788,21.994090115301425,4.142463035441596
37.6530612244898,350.9860957615409,0.5402045725477675,556.0,748.2,1259.8,48.2,5.272570530585626,8.108020720249792,14.537537618180046,3.7067505985701272
38.57142857142857,366.0449857194144,0.5561285949835921,722.8,596.4,1220.8,27.2,8.278888814327681,8.231646250902672,12.15894732285653,2.517935662402834
39.48979591836735,380.4648520140131,0.3394337060310956,776.2,385.4,1097.8,50.6,13.316906547693423,4.545327270945403,7.578918128598565,2.1354156504062622
40.40816326530612,394.43108584126105,0.7027530374745148,776.0,215.8,911.2,94.0,13.896042602122375,9.986991538997117,3.6110940170535573,4.9396356140913875
41.3265306122449,409.3874459728494,1.045611086429974,686.8,100.2,642.4,139.4,6.522269543648131,4.328972164382672,17.35972350010218,4.019950248448356
42.244897959183675,422.5964449424561,1.064013339084434,535.6,36.4,425.0,166.2,7.896834808959852,2.15870331449229,10.700467279516348,4.619523784980439
43.16326530612245,440.18598673821623,0.9812315683050942,373.8,9.6,226.6,163.6,4.726520919238589,0.8717797887081347,5.714892824891819,2.9257477676655586
44.08163265306123,457.5386733960284,1.2486062780947544,224.6,10.0,104.4,132.8,6.305553108173778,2.024845673131659,4.166533331199931,2.2671568097509267
45.0,472.61286228619394,2.4625723302137965,125.6,9.4,46.6,95.0,3.9446165846632035,1.5999999999999999,0.9797958971132711,5.70087712549569
