0,1,2,3,4
"['phi plus, phi minus', 'psi plus, i psi minus']","[(45.0, 54.022918311805235)]","[0.1, 0.9]","['W1', 0.020626920075974862, [1.7692575364314092]]","['Wp1', -0.21598455140535266, [0.47745838999028617]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(45.0, 54.022918311805235)]","[0.2, 0.8]","['W1', 0.04125384015194707, [2.4005348042547143]]","['Wp1', -0.1422166221529429, [1.1461394580387725]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(45.0, 54.022918311805235)]","[0.3, 0.7]","['W1', 0.061880760227921376, [2.638058512176568]]","['Wp1', -0.07369871212177595, [2.2578804722393016]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(45.0, 54.022918311805235)]","[0.4, 0.6]","['W2', 0.05722438687552919, [1.4782725536301102]]","['Wp1', -0.011812291568759986, [1.8789992099595223]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(45.0, 54.022918311805235)]","[0.5, 0.5]","['W2', 0.04768698906294124, [1.6139794166256414]]","['Wp1', -0.03611380391172448, [0.6966711595558494]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(45.0, 72.01145915590261)]","[0.1, 0.9]","['W2', 0.02199676469738121, [1.5899565603773658]]","['Wp1', -0.08982727028661337, [0.49769780526335383]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(45.0, 72.01145915590261)]","[0.2, 0.8]","['W2', 0.019552679731005523, [2.543109710238735]]","['Wp1', -0.027332542114731767, [0.5030752809240888]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(45.0, 72.01145915590261)]","[0.3, 0.7]","['W2', 0.017108594764629823, [1.6793988551030012]]","['Wp1', -0.012175058737807165, [1.3063734829302365]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(45.0, 72.01145915590261)]","[0.4, 0.6]","['W2', 0.014664509798254127, [1.8773597656464254]]","['Wp1', -0.042930580210681635, [0.7083735118503879]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(45.0, 72.01145915590261)]","[0.5, 0.5]","['W2', 0.012220424831878449, [2.912180795538908]]","['Wp1', -0.08627110005807023, [1.4987085958105373]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(59.99999999999999, 0.057295779513082325)]","[0.5, 0.5]","['W2', 0.12499981250020317, [0.801842388545989]]","['Wp1', -0.08071877214641028, [0.3539673385672861]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(59.99999999999999, 18.045836623610466)]","[0.5, 0.5]","['W2', 0.10814362755801829, [0.26437669991194684]]","['Wp1', -0.06682572369553999, [1.1184275220996422]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(59.99999999999999, 36.03437746770785)]","[0.5, 0.5]","['W2', 0.0715436527688439, [1.0059888683952574]]","['Wp1', -0.027365578732835537, [0.5144092797235914]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(59.99999999999999, 54.022918311805235)]","[0.4, 0.6]","['W1', 0.018745113470894068, [1.582117976391643]]","['Wp1', -0.03695639924827228, [1.4892173124343355]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(59.99999999999999, 54.022918311805235)]","[0.5, 0.5]","['W2', 0.03477240930630219, [1.5648305875011597]]","['Wp1', -0.027526271894434004, [1.1805010297472227]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(59.99999999999999, 72.01145915590261)]","[0.4, 0.6]","['W2', 0.03342495151176851, [2.020745551076181]]","['Wp1', -0.013370447127239171, [0.8510988182352744]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(59.99999999999999, 72.01145915590261)]","[0.5, 0.5]","['W1', 0.1082408548963415, [2.87013604396132]]","['Wp1', -0.06691274753581389, [2.6039510401660895]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(59.99999999999999, 90.0)]","[0.4, 0.6]","['W2', 0.021611781858507446, [1.5733239141722881]]","['Wp1', -0.02787192621509981, [0.33369608110838855]]"
"['phi plus, phi minus', 'phi minus, i psi minus']","[(59.99999999999999, 54.022918311805235)]","[0.4, 0.6]","['W1', 0.028062084947088214, [2.203097934378089]]","['Wp2', -0.11132960472355745, [0.9251882444531925]]"
"['phi plus, phi minus', 'phi minus, i psi minus']","[(59.99999999999999, 72.01145915590261)]","[0.4, 0.6]","['W1', 0.04372912128031245, [2.9537439616086174]]","['Wp1', -0.0346819360062067, [2.0566805579011103]]"
"['phi plus, phi minus', 'phi minus, i psi minus']","[(59.99999999999999, 90.0)]","[0.4, 0.6]","['W6', 0.04999999999999993, [1.392473873911838]]","['Wp1', -0.04383363185968012, [2.819486700584577]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(29.999999999999996, 54.022918311805235)]","[0.4, 0.6]","['W2', 0.018745113470893998, [0.7638229287291771]]","['Wp1', -0.07759382672648, [2.68820176906175]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(29.999999999999996, 72.01145915590261)]","[0.4, 0.6]","['W2', 0.04074793770950261, [1.6123712181127186]]","['Wp1', -0.09397869960301398, [2.4721180815884787]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(29.999999999999996, 90.0)]","[0.4, 0.6]","['W2', 0.04999999999999996, [0.6266480446542437]]","['Wp1', -0.09999999999999998, [0.9782663081275704]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(45.0, 36.03437746770785)]","[0.2, 0.8]","['W2', 0.019133582237832958, [1.5497947290021246]]","['Wp1', -0.14881587002178803, [1.4802922979419204]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(45.0, 36.03437746770785)]","[0.3, 0.7]","['W2', 0.02870037345016734, [1.029412581135052]]","['Wp1', -0.0889690875053557, [1.0595267900604823]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(45.0, 36.03437746770785)]","[0.4, 0.6]","['W2', 0.03826716447566476, [1.1908938521912131]]","['Wp1', -0.03938068508459868, [2.6880646229954257]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(45.0, 54.022918311805235)]","[0.1, 0.9]","['W2', 0.02062692008418787, [0.9898231054350095]]","['Wp1', -0.3153461017475607, [0.792527255636118]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(45.0, 54.022918311805235)]","[0.2, 0.8]","['W2', 0.04125384015194808, [2.8839704368812704]]","['Wp1', -0.22898834408927693, [2.9145910170415164]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(45.0, 54.022918311805235)]","[0.3, 0.7]","['W2', 0.06188076022792008, [2.544146129008935]]","['Wp1', -0.1466292079871257, [1.150377164956846]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(45.0, 54.022918311805235)]","[0.4, 0.6]","['W2', 0.08250768030389367, [0.2025300192723944]]","['Wp1', -0.06971177859992458, [2.6379873075164286]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(45.0, 72.01145915590261)]","[0.1, 0.9]","['W2', 0.03455866115553572, [1.273755411173549]]","['Wp1', -0.378281688115221, [2.6650043651975945]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(45.0, 72.01145915590261)]","[0.2, 0.8]","['W2', 0.06911732231073833, [2.8395165826251554]]","['Wp1', -0.28169870746586634, [1.7554014685341583]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(45.0, 72.01145915590261)]","[0.3, 0.7]","['W2', 0.10367598348751075, [2.5095715834600907]]","['Wp1', -0.18609909578487072, [0.8834426389904663]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(45.0, 72.01145915590261)]","[0.4, 0.6]","['W2', 0.13823464462147675, [2.741591524706934]]","['Wp1', -0.09194400335287893, [1.8631098156116292]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(45.0, 90.0)]","[0.1, 0.9]","['W2', 0.049999999999999996, [2.798611807323286]]","['Wp1', -0.39999999999999997, [0.7677462538026639]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(45.0, 90.0)]","[0.2, 0.8]","['W2', 0.09999999999999995, [1.4663823725390615]]","['Wp1', -0.3, [3.07273926161545]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(45.0, 90.0)]","[0.3, 0.7]","['W2', 0.14999999999999997, [1.2623371354871245]]","['Wp1', -0.19999999999999996, [1.6649505694665492]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(45.0, 90.0)]","[0.4, 0.6]","['W2', 0.19999999999999996, [1.0896066578363084]]","['Wp1', -0.09999999999999999, [2.685050063226986]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(59.99999999999999, 54.022918311805235)]","[0.4, 0.6]","['W2', 0.050000000000000044, [2.6874979297745774]]","['Wp1', -0.07759382672648017, [0.3557578671824052]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(59.99999999999999, 72.01145915590261)]","[0.4, 0.6]","['W2', 0.04074793770950273, [1.2516419283938052]]","['Wp1', -0.0939786996030142, [2.6439532134465433]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(59.99999999999999, 90.0)]","[0.4, 0.6]","['W2', 0.05000000000000002, [2.320446639463495]]","['Wp1', -0.09999999999999996, [0.9397159051374736]]"
"['psi plus, psi minus', 'phi plus, psi minus']","[(14.999999999999998, 72.01145915590261)]","[0.5, 0.5]","['W2', 0.03032080591545533, [2.6649502157104314]]","['Wp1', -0.02436616806080076, [1.8191343354492182]]"
"['psi plus, psi minus', 'phi plus, psi minus']","[(29.999999999999996, 0.057295779513082325)]","[0.5, 0.5]","['W2', 0.026089100896953293, [1.1209275611778968]]","['Wp3', -0.0915062099821356, [2.0208654208616963]]"
"['psi plus, psi minus', 'phi plus, psi minus']","[(29.999999999999996, 18.045836623610466)]","[0.5, 0.5]","['W2', 0.03405248322600936, [0.7290057603758164]]","['Wp3', -0.07768030285441979, [2.969528431341124]]"
"['psi plus, psi minus', 'phi plus, psi minus']","[(29.999999999999996, 36.03437746770785)]","[0.5, 0.5]","['W2', 0.05596621639070512, [1.3750148905077015]]","['Wp3', -0.038279063439201726, [0.8588692734838851]]"
"['psi plus, psi minus', 'phi plus, psi minus']","[(29.999999999999996, 54.022918311805235)]","[0.4, 0.6]","['W2', 0.0280620849470882, [2.5839168303729942]]","['Wp3', -0.04727866967351024, [1.2760883670422711]]"
"['psi plus, psi minus', 'phi plus, psi minus']","[(29.999999999999996, 54.022918311805235)]","[0.5, 0.5]","['W6', 0.05587933482314033, [1.3760221841180424]]","['Wp1', -0.038440056655590346, [1.638524824056546]]"
"['psi plus, psi minus', 'phi plus, psi minus']","[(29.999999999999996, 72.01145915590261)]","[0.4, 0.6]","['W2', 0.043729121280319944, [2.235280641425426]]","['Wp1', -0.018713738811593966, [1.494380983161533]]"
