0,1,2,3,4
"['phi plus, phi minus', 'phi plus, i psi plus']","[(59.99999999999999, 54.022918311805235)]","[0.5, 0.5]","['W3', 0.055879334823140364, [2.393737883066515]]","['Wp1', -0.038440056656864674, [1.4889897755864376]]"
"['phi plus, phi minus', 'phi plus, i psi plus']","[(59.99999999999999, 72.01145915590261)]","[0.5, 0.5]","['W3', 0.03400297169386304, [1.5312503122470726]]","['Wp1', -0.07776696430639989, [2.185571493206382]]"
"['phi plus, phi minus', 'phi plus, i psi plus']","[(59.99999999999999, 90.0)]","[0.5, 0.5]","['W3', 0.02608901906526004, [0.14488000642778853]]","['Wp1', -0.09150635094610922, [2.8305631612357725]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(45.0, 54.022918311805235)]","[0.1, 0.9]","['W1', 0.020626920110181024, [2.3841310820920394]]","['Wp1', -0.2159845514053534, [1.2032216921568097]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(45.0, 72.01145915590261)]","[0.1, 0.9]","['W2', 0.021996764697381203, [1.3131284786557256]]","['Wp1', -0.08982727028661401, [1.7467763271372097]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(45.0, 36.03437746770785)]","[0.2, 0.8]","['W1', 0.019133582237832694, [2.088697439406039]]","['Wp1', -0.23342078199874156, [0.6212223124864963]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(45.0, 54.022918311805235)]","[0.2, 0.8]","['W1', 0.04125384020225358, [1.9441972342182126]]","['Wp1', -0.1422166221529429, [1.1476706551222828]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(45.0, 72.01145915590261)]","[0.2, 0.8]","['W2', 0.019552679731005506, [1.507931003512489]]","['Wp1', -0.027332542114731774, [1.0988122559513658]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(45.0, 36.03437746770785)]","[0.3, 0.7]","['W1', 0.028700373356748382, [1.593516624864823]]","['Wp1', -0.1579301447803363, [1.8720255064500533]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(45.0, 54.022918311805235)]","[0.3, 0.7]","['W1', 0.061880760227920106, [2.917152355682127]]","['Wp1', -0.07369871212179327, [1.0458897513178953]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(45.0, 72.01145915590261)]","[0.3, 0.7]","['W2', 0.017108594764629816, [2.8966488496510014]]","['Wp1', -0.012175058737811266, [1.3282609562302365]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(29.999999999999996, 54.022918311805235)]","[0.4, 0.6]","['W1', 0.018745113470894026, [2.686011542269723]]","['Wp1', -0.03695639924827274, [1.1796141057422656]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(29.999999999999996, 72.01145915590261)]","[0.4, 0.6]","['W2', 0.033424951511768525, [0.24036016438355862]]","['Wp1', -0.013370447127238727, [2.2406459007971717]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(29.999999999999996, 90.0)]","[0.4, 0.6]","['W2', 0.021611781858498907, [1.5046256860020752]]","['Wp1', -0.027871926215099978, [2.373761052246351]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(45.0, 36.03437746770785)]","[0.4, 0.6]","['W1', 0.03826716449717645, [1.0669322173221962]]","['Wp1', -0.09156801570458478, [1.444679291289272]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(45.0, 54.022918311805235)]","[0.4, 0.6]","['W2', 0.057224386875587015, [0.897804464724013]]","['Wp1', -0.011812291568759889, [0.5102017571140529]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(45.0, 72.01145915590261)]","[0.4, 0.6]","['W2', 0.014664509798254122, [2.44943259988531]]","['Wp1', -0.04293058021066661, [2.004481703226663]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(59.99999999999999, 36.03437746770785)]","[0.4, 0.6]","['W1', 0.05000000000000001, [0.5140952821337301]]","['Wp1', -0.09369870758386561, [1.3192785771415414]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(59.99999999999999, 54.022918311805235)]","[0.4, 0.6]","['W1', 0.018745113470894068, [2.5751969102485437]]","['Wp1', -0.03695639924827185, [1.5235654609297409]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(59.99999999999999, 72.01145915590261)]","[0.4, 0.6]","['W2', 0.03342495151176851, [2.6681837317030612]]","['Wp1', -0.013370447127215954, [0.30923561193279187]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(59.99999999999999, 90.0)]","[0.4, 0.6]","['W2', 0.021611781858499067, [0.7762327218996081]]","['Wp1', -0.02787192621509988, [1.0266717316237854]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(29.999999999999996, 36.03437746770785)]","[0.5, 0.5]","['W1', 0.03487600753774492, [1.253879132819233]]","['Wp1', -0.02736557873283272, [1.1565125852409521]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(29.999999999999996, 54.022918311805235)]","[0.5, 0.5]","['W2', 0.03477240930653001, [2.597618733255938]]","['Wp1', -0.027526271894439527, [0.27415003136529925]]"
