0,1,2,3,4
"['phi plus, phi minus', 'psi plus, i psi minus']","[(45.0, 54.022918311805235)]","[0.2, 0.8]","['W1', 0.0412538401519931, [2.0482327389584687]]","['Wp1', -0.14221662215294284, [2.2942823372207366]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(45.0, 54.022918311805235)]","[0.3, 0.7]","['W1', 0.06188076022792002, [2.156732673717654]]","['Wp1', -0.07369871212179277, [1.5324682024670992]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(45.0, 54.022918311805235)]","[0.4, 0.6]","['W2', 0.05722438687552918, [2.9966267114892275]]","['Wp1', -0.011812291568760028, [0.11072970773316335]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(45.0, 54.022918311805235)]","[0.5, 0.5]","['W2', 0.047686989062941255, [2.6460886933466345]]","['Wp1', -0.03611380391172501, [0.6953788848467461]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(45.0, 72.01145915590261)]","[0.1, 0.9]","['W2', 0.02199676469742247, [0.9087569426875817]]","['Wp1', -0.08982727028661364, [0.035105560466938496]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(45.0, 72.01145915590261)]","[0.2, 0.8]","['W2', 0.019552679731034042, [1.3999722628827664]]","['Wp1', -0.027332542114731774, [2.1150384692867052]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(45.0, 72.01145915590261)]","[0.3, 0.7]","['W2', 0.017108594779060595, [2.6819382219035237]]","['Wp1', -0.012175058737822712, [1.3581461325358386]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(45.0, 72.01145915590261)]","[0.4, 0.6]","['W2', 0.014664509798302892, [1.7585437958397598]]","['Wp1', -0.04293058021067348, [2.348091447857108]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(45.0, 72.01145915590261)]","[0.5, 0.5]","['W2', 0.012220424833953702, [1.7956304870326]]","['Wp1', -0.08627110005807016, [2.0212080153309238]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(59.99999999999999, 18.045836623610466)]","[0.5, 0.5]","['W2', 0.10814362755801836, [0.7874467231455168]]","['Wp1', -0.06682572369553985, [0.511200042454354]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(59.99999999999999, 36.03437746770785)]","[0.4, 0.6]","['W1', 0.05000000000000001, [0.2790385798544343]]","['Wp1', -0.09369870758382105, [2.6333959455494735]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(59.99999999999999, 36.03437746770785)]","[0.5, 0.5]","['W1', 0.03487600753941606, [2.105450088585079]]","['Wp1', -0.027365578732834732, [3.116111903052919]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(59.99999999999999, 54.022918311805235)]","[0.4, 0.6]","['W1', 0.01874511347101357, [2.386065708713357]]","['Wp1', -0.03695639924827271, [0.08579532073145371]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(59.99999999999999, 54.022918311805235)]","[0.5, 0.5]","['W2', 0.03477240930630219, [3.0274584193442413]]","['Wp1', -0.02752627189441305, [0.14451841710404498]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(59.99999999999999, 72.01145915590261)]","[0.4, 0.6]","['W2', 0.03342495151178397, [1.6601184939491425]]","['Wp1', -0.013370447127239976, [1.8293186583622971]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(59.99999999999999, 90.0)]","[0.4, 0.6]","['W2', 0.0216117818584989, [1.240943231539609]]","['Wp1', -0.02787192621509986, [0.19942870947613414]]"
"['phi plus, phi minus', 'phi minus, i psi minus']","[(59.99999999999999, 54.022918311805235)]","[0.4, 0.6]","['W1', 0.028062084947088256, [1.6511212658303094]]","['Wp2', -0.11132960472355909, [1.8276748770448419]]"
"['phi plus, phi minus', 'phi minus, i psi minus']","[(59.99999999999999, 72.01145915590261)]","[0.4, 0.6]","['W2', 0.04999999999999993, [0.6784256620758031]]","['Wp1', -0.034681936005441394, [0.7453004031811182]]"
"['phi plus, phi minus', 'phi minus, i psi minus']","[(59.99999999999999, 90.0)]","[0.4, 0.6]","['W6', 0.04999999999999995, [0.4221997869642919]]","['Wp1', -0.04383363185969502, [3.1107867629986097]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(14.999999999999998, 36.03437746770785)]","[0.5, 0.5]","['W2', 0.011059050437909404, [2.525550033102749]]","['Wp1', 0.0, [2.9191593583982245]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(14.999999999999998, 54.022918311805235)]","[0.5, 0.5]","['W1', 0.021379437929578735, [2.459307384954112]]","['Wp1', 1.1102230246251565e-16, [1.9302083297396397]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(14.999999999999998, 72.01145915590261)]","[0.5, 0.5]","['W1', 0.030079063279057225, [1.307827699655468]]","['Wp1', 1.6653345369377348e-16, [2.7237920831152698]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(14.999999999999998, 90.0)]","[0.5, 0.5]","['W4', 0.03349364905389034, [2.6430674558670613]]","['Wp1', -1.3877787807814457e-17, [1.9392685645432126]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(29.999999999999996, 36.03437746770785)]","[0.5, 0.5]","['W1', 0.03487600753774462, [2.8236393730046463]]","['Wp1', 2.220446049250313e-16, [0.6994649875807503]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(29.999999999999996, 54.022918311805235)]","[0.4, 0.6]","['W2', 0.018745113470901645, [3.043144044477818]]","['Wp1', -0.07759382672648017, [1.4532189521550423]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(29.999999999999996, 54.022918311805235)]","[0.5, 0.5]","['W1', 0.0716686112761242, [2.0293847384258346]]","['Wp1', 3.469446951953614e-16, [2.9961864833216074]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(29.999999999999996, 72.01145915590261)]","[0.4, 0.6]","['W2', 0.04074793770964233, [0.8143304872333708]]","['Wp1', -0.09397869960301398, [1.8590872100117006]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(29.999999999999996, 72.01145915590261)]","[0.5, 0.5]","['W2', 0.10824085488178284, [0.99301260568349]]","['Wp1', 1.915134717478395e-15, [1.734886193803499]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(29.999999999999996, 90.0)]","[0.4, 0.6]","['W5', 0.04999999999999993, [2.3964628584328773]]","['Wp1', -0.09999999999999996, [2.3890705435040616]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(29.999999999999996, 90.0)]","[0.5, 0.5]","['W2', 0.12499999999999992, [1.2331266302555637]]","['Wp1', -2.7755575615628914e-17, [2.8392584618756693]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(45.0, 18.045836623610466)]","[0.5, 0.5]","['W1', 0.012297750403011488, [3.0793200934037404]]","['Wp1', 2.949029909160572e-17, [2.857446261901768]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(45.0, 36.03437746770785)]","[0.2, 0.8]","['W2', 0.019133582239766658, [2.019741303943017]]","['Wp1', -0.14881587002182634, [2.7331660097309705]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(45.0, 36.03437746770785)]","[0.3, 0.7]","['W2', 0.028700373356748632, [0.8983810209850029]]","['Wp1', -0.08896908750536164, [2.409488282037224]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(45.0, 36.03437746770785)]","[0.4, 0.6]","['W2', 0.03826716447566451, [1.3585306773280708]]","['Wp1', -0.03938068508460071, [1.7998957068692565]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(45.0, 36.03437746770785)]","[0.5, 0.5]","['W1', 0.047833955594580604, [1.6666242991709521]]","['Wp1', 5.551115123125783e-17, [2.134223714428789]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(45.0, 54.022918311805235)]","[0.1, 0.9]","['W2', 0.02062692007597355, [0.925223083066456]]","['Wp1', -0.31534610174755573, [2.585600941709676]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(45.0, 54.022918311805235)]","[0.2, 0.8]","['W2', 0.041253840151949564, [1.9177345986083614]]","['Wp1', -0.22898834408927687, [1.7786967093374202]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(45.0, 54.022918311805235)]","[0.3, 0.7]","['W2', 0.06188076022792003, [1.2557048618363604]]","['Wp1', -0.14662920798712326, [1.8692403845435104]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(45.0, 54.022918311805235)]","[0.4, 0.6]","['W2', 0.08250768039458388, [3.0860425202131085]]","['Wp1', -0.06971177859992468, [0.9443413075527158]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(45.0, 54.022918311805235)]","[0.5, 0.5]","['W1', 0.10313460037986671, [3.0035051398163812]]","['Wp1', 1.3877787807814457e-17, [2.416220529346861]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(45.0, 72.01145915590261)]","[0.1, 0.9]","['W2', 0.03455866116038543, [0.3672617349558589]]","['Wp1', -0.37828168811522106, [2.2440407495684487]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(45.0, 72.01145915590261)]","[0.2, 0.8]","['W2', 0.06911732238464104, [2.459361119988811]]","['Wp1', -0.28169870746587233, [1.3307837141673062]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(45.0, 72.01145915590261)]","[0.3, 0.7]","['W2', 0.10367598346610751, [2.35019118105815]]","['Wp1', -0.18609909578487663, [1.5174928610921303]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(45.0, 72.01145915590261)]","[0.4, 0.6]","['W2', 0.19999999999999996, [1.0292631220635453]]","['Wp1', -0.09194400335287244, [0.4981671012130939]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(45.0, 72.01145915590261)]","[0.5, 0.5]","['W1', 0.17279330577684587, [1.8436759805001572]]","['Wp1', 5.689893001203927e-16, [1.3185606316853216]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(45.0, 90.0)]","[0.1, 0.9]","['W3', 0.04999999999999996, [2.332662374554991]]","['Wp1', -0.39999999999999997, [2.65344471518251]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(45.0, 90.0)]","[0.2, 0.8]","['W3', 0.09999999999999995, [1.7340634388416523]]","['Wp1', -0.29999999999999993, [0.35309290790703063]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(45.0, 90.0)]","[0.3, 0.7]","['W6', 0.1499999999999999, [0.0758218753726477]]","['Wp1', -0.2, [3.099886967230986]]"
