states,eta-chi,probabilities,W,Wp,Wpp
"['HL_VR', 'HR_iVL']","(1.5707963267948966, 0.7858981633974483)","[0.2, 0.8]","['W2', 0.06980566045239724, [1.3308377335586739]]","['W_pp_a2', 3.41297700559564e-05, [2.01607229429719]]","[3.41297700559564e-05, 'W_pp_a2', [2.01607229429719]]"
"['HL_VR', 'HR_iVL']","(1.5707963267948966, 1.5707963267948966)","[0.2, 0.8]","['W3', 0.1999999999999999, [1.133208256794629]]","['W_pp_b2', 1.99993471355199e-05, [1.728523346668301]]","[1.99993471355199e-05, 'W_pp_b2', [1.728523346668301]]"
"['HL_VR', 'HR_iVL']","(0.7853981633974483, 0.7858981633974483)","[0.4, 0.6]","['W1', 0.05967462070345796, [2.6569267406466053]]","['W_pp_a2', 6.825783694361463e-05, [0.19303629248575024]]","[6.825783694361463e-05, 'W_pp_a2', [0.19303629248575024]]"
"['HL_VR', 'HR_iVL']","(0.7853981633974483, 1.5707963267948966)","[0.4, 0.6]","['W1', 0.14999999999999994, [1.2051454899293543]]","['W_pp_b2', 4.01178220276147e-05, [0.5207154905282239]]","[4.01178220276147e-05, 'W_pp_b2', [0.5207154905282239]]"
"['HL_VR', 'HR_iVL']","(1.5707963267948966, 0.7858981633974483)","[0.4, 0.6]","['W2', 0.05967462070345167, [2.864210128992047]]","['W_pp_a2', 6.825806174093173e-05, [0.018695056506622072]]","[6.825806174093173e-05, 'W_pp_a2', [0.018695056506622072]]"
"['HL_VR', 'HR_iVL']","(1.5707963267948966, 1.5707963267948966)","[0.4, 0.6]","['W3', 0.1499999999999999, [1.4836699195618248]]","['W_pp_a2', 4.001506471181366e-05, [1.0060716030589614]]","[4.001506471181366e-05, 'W_pp_a2', [1.0060716030589614]]"
"['HD_iVA', 'HA_VD']","(0.7853981633974483, 0.7858981633974483)","[0.2, 0.8]","['W2', 0.06980566045238827, [1.3954024593185101]]","['W_pp_b2', 3.412973625143002e-05, [1.1497879195256047]]","[3.412973625143002e-05, 'W_pp_b2', [1.1497879195256047]]"
"['HD_iVA', 'HA_VD']","(0.7853981633974483, 1.5707963267948966)","[0.2, 0.8]","['W3', 0.1999999999999999, [2.781993461272189]]","['W_pp_b2', 1.9994693719118668e-05, [0.9345284305024629]]","[1.9994693719118668e-05, 'W_pp_b2', [0.9345284305024629]]"
"['HD_iVA', 'HA_VD']","(1.5707963267948966, 0.7858981633974483)","[0.2, 0.8]","['W1', 0.06980566045238827, [1.2439927750920352]]","['W_pp_b2', 3.4129742946037324e-05, [0.6734143796433281]]","[3.4129742946037324e-05, 'W_pp_b2', [0.6734143796433281]]"
"['HD_iVA', 'HA_VD']","(1.5707963267948966, 1.5707963267948966)","[0.2, 0.8]","['W2', 0.1999999999999999, [0.14130258749647176]]","['W_pp_a2', 1.9999333342222297e-05, [1.4418511970597945]]","[1.9999333342222297e-05, 'W_pp_a2', [1.4418511970597945]]"
"['HD_iVA', 'HA_VD']","(0.7853981633974483, 0.7858981633974483)","[0.4, 0.6]","['W4', 0.17091934497379185, [0.1668576094887503]]","['W_pp_b2', 6.825839421595058e-05, [1.4220881539023302]]","[6.825839421595058e-05, 'W_pp_b2', [1.4220881539023302]]"
"['HD_iVA', 'HA_VD']","(0.7853981633974483, 1.5707963267948966)","[0.4, 0.6]","['W4', 0.14999999999999988, [2.4295428217181536]]","['W_pp_a2', 4.002981537872876e-05, [2.1360516220190693]]","[4.002981537872876e-05, 'W_pp_a2', [2.1360516220190693]]"
"['HD_iVA', 'HA_VD']","(1.5707963267948966, 0.7858981633974483)","[0.4, 0.6]","['W2', 0.05967462070345165, [0.8596470533062528]]","['W_pp_b2', 6.825753697831024e-05, [0.7794532552283906]]","[6.825753697831024e-05, 'W_pp_b2', [0.7794532552283906]]"
"['HD_iVA', 'HA_VD']","(1.5707963267948966, 1.5707963267948966)","[0.4, 0.6]","['W4', 0.14999999999999988, [3.0580268510964568]]","['W_pp_a2', 4.0046343258695484e-05, [2.2056661955115144]]","[4.0046343258695484e-05, 'W_pp_a2', [2.2056661955115144]]"
"['HA_iVD', 'HD_VA']","(0.7853981633974483, 0.7858981633974483)","[0.2, 0.8]","['W2', 0.06980566045238824, [1.997398601142924]]","['W_pp_b2', 3.41303770864516e-05, [0.6661574962657854]]","[3.41303770864516e-05, 'W_pp_b2', [0.6661574962657854]]"
"['HA_iVD', 'HD_VA']","(0.7853981633974483, 1.5707963267948966)","[0.2, 0.8]","['W1', 0.1999999999999999, [1.19976817369795]]","['W_pp_b2', 1.9998061739721914e-05, [0.9522297749178719]]","[1.9998061739721914e-05, 'W_pp_b2', [0.9522297749178719]]"
