states,eta-chi,probabilities,W,Wp
"['HR_VL', 'HA_VD']","[0.2, 0.8]","[45.0, 36.03437746770785]","['W2', 3.9999825648319445, [2.4852198967257184]]","['Wp2', -14.449513495364624, [0.5608708185536366]]"
"['HR_VL', 'HA_VD']","[0.2, 0.8]","[45.0, 54.022918311805235]","['W1', 5.713547497853783, [0.6579446267752213]]","['Wp2', -13.98377560474185, [1.2206176978092276]]"
"['HR_VL', 'HA_VD']","[0.2, 0.8]","[45.0, 72.01145915590261]","['W2', 7.332540283937631, [2.383694806682246]]","['Wp2', -13.643800376760097, [0.17159004533548877]]"
"['HR_VL', 'HA_VD']","[0.2, 0.8]","[45.0, 90.0]","['W2', 8.889785965624258, [2.364327749823265]]","['Wp2', -13.38590792006714, [0.8816354066240101]]"
"['HR_VL', 'HA_VD']","[0.3, 0.7]","[45.0, 18.045836623610466]","['W2', 1.6955699763309582, [0.5365916979394839]]","['Wp2', -13.228613156750592, [1.2212558055739253]]"
"['HR_VL', 'HA_VD']","[0.3, 0.7]","[45.0, 36.03437746770785]","['W1', 3.1527765836423685, [2.2585241896795085]]","['Wp2', -12.427333397924993, [2.075091320590252]]"
"['HR_VL', 'HA_VD']","[0.3, 0.7]","[45.0, 54.022918311805235]","['W2', 4.481843800360644, [2.7005884375500737]]","['Wp2', -11.885928163011705, [0.437831419451685]]"
"['HR_VL', 'HA_VD']","[0.3, 0.7]","[45.0, 72.01145915590261]","['W2', 5.734498224191365, [1.2869829880419366]]","['Wp2', -11.50005060494657, [2.601201608461435]]"
"['HR_VL', 'HA_VD']","[0.3, 0.7]","[45.0, 90.0]","['W1', 6.938465801203259, [1.8016183792205034]]","['Wp2', -11.212849195227136, [1.270973423959183]]"
"['HR_VL', 'HA_VD']","[0.4, 0.6]","[45.0, 18.045836623610466]","['W2', 1.2848675790646917, [1.7950019443020084]]","['Wp2', -11.18829047316762, [2.0575812099693795]]"
"['HR_VL', 'HA_VD']","[0.4, 0.6]","[45.0, 36.03437746770785]","['W1', 2.3724583613430985, [1.0073675185540587]]","['Wp2', -10.273620846618455, [0.5098495353165654]]"
"['HR_VL', 'HA_VD']","[0.4, 0.6]","[45.0, 54.022918311805235]","['W1', 3.3592661169100584, [1.6363105562136022]]","['Wp2', -9.67991164414871, [0.7406189685804556]]"
"['HR_VL', 'HA_VD']","[0.4, 0.6]","[45.0, 72.01145915590261]","['W1', 4.287767834009424, [2.8687346846686017]]","['Wp2', -9.26969549477612, [1.961965657704682]]"
"['HR_VL', 'HA_VD']","[0.4, 0.6]","[45.0, 90.0]","['W1', 5.179803759795137, [1.4340364427603531]]","['Wp2', -8.971567806422899, [1.5011844277589632]]"
"['HR_VL', 'HA_VD']","[0.5, 0.5]","[45.0, 18.045836623610466]","['W1', 0.9151140636292356, [1.3316098768548377]]","['Wp2', -9.030223102706199, [1.8798305456976254]]"
"['HR_VL', 'HA_VD']","[0.5, 0.5]","[45.0, 36.03437746770785]","['W1', 1.6798840594999755, [1.9610252243030721]]","['Wp2', -8.041139578108105, [1.9520637737311382]]"
"['HR_VL', 'HA_VD']","[0.5, 0.5]","[45.0, 54.022918311805235]","['W2', 2.3710381272913787, [1.9315012608795221]]","['Wp2', -7.43366265325519, [0.44532651909935766]]"
"['HR_VL', 'HA_VD']","[0.5, 0.5]","[45.0, 72.01145915590261]","['W1', 3.020599035504573, [1.6199985950454265]]","['Wp2', -7.030539227270544, [1.1780087689916776]]"
"['HR_VL', 'HA_VD']","[0.5, 0.5]","[45.0, 90.0]","['W2', 3.6445097640688506, [2.3237072860947396]]","['Wp2', -6.746075574021553, [2.1753631245597838]]"
"['HR_VL', 'HA_iVD']","[0.1, 0.9]","[45.0, 72.01145915590261]","['W4', 2.4375722666908164, [2.520065587596944]]","['Wp3', -19.115154471972346, [2.156311488640955]]"
"['HR_iVL', 'phi plus, phi minus']","[0.4, 0.6]","[45.0, 18.045836623610466]","['W2', 0.0370780825999808, [1.1877752780725381]]","['Wp2', -2.0660711561401373, [0.6635611628160976]]"
"['HR_iVL', 'phi plus, phi minus']","[0.5, 0.5]","[45.0, 18.045836623610466]","['W2', 0.23914671304511947, [2.0401508890726374]]","['Wp2', -1.2387678776087356, [0.892711876634216]]"
"['HR_iVL', 'psi plus, psi minus']","[0.4, 0.6]","[45.0, 18.045836623610466]","['W1', 0.03707808260003542, [2.262207626002778]]","['Wp2', -2.0660711561401315, [2.395973982091331]]"
"['HR_iVL', 'psi plus, psi minus']","[0.5, 0.5]","[45.0, 18.045836623610466]","['W1', 0.2391467130451197, [0.6202755757715329]]","['Wp2', -1.2387678776087332, [1.1367037426213322]]"
"['HR_iVL', 'HR_VL']","[0.1, 0.9]","[45.0, 0.057295779513082325]","['W1', 4.2622989049470625, [1.7719536620445697]]","['Wp2', -0.022440662950337753, [1.215666825889958]]"
"['HR_iVL', 'HR_VL']","[0.1, 0.9]","[45.0, 18.045836623610466]","['W6', 5.346114670571269, [2.13734516504514]]","['Wp2', -7.067894717007618, [1.9295762244413115]]"
"['HR_iVL', 'HR_VL']","[0.1, 0.9]","[45.0, 36.03437746770785]","['W1', 5.823259350070218, [0.6906464076316889]]","['Wp2', -14.1133487710649, [2.5600681410899293]]"
"['HR_iVL', 'HR_VL']","[0.1, 0.9]","[45.0, 54.022918311805235]","['W2', 6.081500181209691, [0.6945297138234041]]","['Wp2', -21.15880282512218, [0.8815753721104242]]"
"['HR_iVL', 'HR_VL']","[0.1, 0.9]","[45.0, 72.01145915590261]","['W1', 6.2414928114546875, [1.6730122055167242]]","['Wp2', -28.204256879179454, [1.697289306072649]]"
"['HR_iVL', 'HR_VL']","[0.1, 0.9]","[45.0, 90.0]","['W5', 6.349852423280355, [0.6868396177637186]]","['Wp2', -35.24971093323674, [2.1538795297739615]]"
"['HR_iVL', 'HR_VL']","[0.2, 0.8]","[45.0, 0.057295779513082325]","['W1', 3.4163871494055287, [2.6412670811817542]]","['Wp2', -0.020550738208272357, [1.0034073213111276]]"
"['HR_iVL', 'HR_VL']","[0.2, 0.8]","[45.0, 18.045836623610466]","['W5', 4.313373863548282, [1.9616571845365822]]","['Wp2', -6.47264540866232, [2.7540142497339817]]"
"['HR_iVL', 'HR_VL']","[0.2, 0.8]","[45.0, 36.03437746770785]","['W1', 4.735203887113147, [2.459521678303985]]","['Wp2', -12.924740079116365, [1.7320257708871634]]"
"['HR_iVL', 'HR_VL']","[0.2, 0.8]","[45.0, 54.022918311805235]","['W6', 4.973386508208561, [2.4232434578175766]]","['Wp2', -19.37683474957042, [0.21720373222806594]]"
"['HR_iVL', 'HR_VL']","[0.2, 0.8]","[45.0, 72.01145915590261]","['W1', 5.124976508363663, [2.791440778364828]]","['Wp2', -25.828929420024465, [0.856661691851807]]"
"['HR_iVL', 'HR_VL']","[0.2, 0.8]","[45.0, 90.0]","['W5', 5.2295277274926955, [1.8125820199885783]]","['Wp2', -32.28102409047852, [1.500956789317395]]"
"['HR_iVL', 'HR_VL']","[0.3, 0.7]","[45.0, 0.057295779513082325]","['W6', 2.648888838815661, [1.65068325592499]]","['Wp2', -0.018455477283199295, [0.7732849313932009]]"
"['HR_iVL', 'HR_VL']","[0.3, 0.7]","[45.0, 18.045836623610466]","['W2', 3.3610293048798385, [1.0193174694065101]]","['Wp2', -5.8127235669657775, [0.6457449443590394]]"
"['HR_iVL', 'HR_VL']","[0.3, 0.7]","[45.0, 36.03437746770785]","['W6', 3.712777701498581, [2.0953080200836967]]","['Wp2', -11.606991656648354, [0.07396426942308278]]"
"['HR_iVL', 'HR_VL']","[0.3, 0.7]","[45.0, 54.022918311805235]","['W1', 3.918122038354344, [3.017761024311788]]","['Wp2', -17.401259746330936, [2.5252691645566188]]"
"['HR_iVL', 'HR_VL']","[0.3, 0.7]","[45.0, 72.01145915590261]","['W6', 4.051750189913989, [2.831749645399263]]","['Wp2', -23.19552783601351, [1.3649187053648184]]"
"['HR_iVL', 'HR_VL']","[0.3, 0.7]","[45.0, 90.0]","['W5', 4.145356507664554, [1.2035212409298273]]","['Wp2', -28.989795925696086, [1.9220242890586818]]"
"['HR_iVL', 'HR_VL']","[0.4, 0.6]","[45.0, 0.057295779513082325]","['W5', 1.9674726972033612, [1.962007780565405]]","['Wp2', -0.016175815329683096, [0.2430026422739515]]"
"['HR_iVL', 'HR_VL']","[0.4, 0.6]","[45.0, 18.045836623610466]","['W6', 2.5058959569037653, [2.030288499339005]]","['Wp2', -5.094722912819065, [1.9036197071782723]]"
"['HR_iVL', 'HR_VL']","[0.4, 0.6]","[45.0, 36.03437746770785]","['W1', 2.781840705666505, [1.4239612175357554]]","['Wp2', -10.173270010308443, [2.8745517151986566]]"
"['HR_iVL', 'HR_VL']","[0.4, 0.6]","[45.0, 54.022918311805235]","['W1', 2.9471915351897326, [1.999701082270665]]","['Wp2', -15.251817107797825, [0.15922422056628452]]"
"['HR_iVL', 'HR_VL']","[0.4, 0.6]","[45.0, 72.01145915590261]","['W2', 3.056754489901729, [2.2754492693295387]]","['Wp2', -20.330364205287204, [0.4529054814748286]]"
"['HR_iVL', 'HR_VL']","[0.4, 0.6]","[45.0, 90.0]","['W6', 3.1345054220516446, [0.8119323778580322]]","['Wp2', -25.408911302776588, [0.08583104856486751]]"
"['HR_iVL', 'HR_VL']","[0.5, 0.5]","[45.0, 0.057295779513082325]","['W1', 1.3789472940610248, [1.1482346055498007]]","['Wp2', -0.01373452997640473, [0.5998328705702444]]"
"['HR_iVL', 'HR_VL']","[0.5, 0.5]","[45.0, 18.045836623610466]","['W6', 1.7613915813836794, [1.559711743969457]]","['Wp2', -4.32581747141895, [0.5393786142310275]]"
"['HR_iVL', 'HR_VL']","[0.5, 0.5]","[45.0, 36.03437746770785]","['W6', 1.9629237624877738, [2.937991297735824]]","['Wp2', -8.637900412861494, [0.21821846761043484]]"
"['HR_iVL', 'HR_VL']","[0.5, 0.5]","[45.0, 54.022918311805235]","['W2', 2.0861534051673565, [1.0124166631319096]]","['Wp2', -12.949983354304038, [2.17388327617677]]"
"['HR_iVL', 'HR_VL']","[0.5, 0.5]","[45.0, 72.01145915590261]","['W1', 2.1689903421089802, [1.6836635620314013]]","['Wp2', -17.262066295746582, [1.4945774630356283]]"
"['HR_iVL', 'HR_VL']","[0.5, 0.5]","[45.0, 90.0]","['W5', 2.228399842868204, [2.6147595528070315]]","['Wp2', -21.57414923718913, [1.5504633053526586]]"
"['HR_iVL', 'HL_VR']","[0.1, 0.9]","[45.0, 54.022918311805235]","['W1', 6.081500181209716, [2.3070091706486195]]","['Wp2', -2.863544838472615, [2.861555623593914]]"
"['HR_iVL', 'HL_VR']","[0.1, 0.9]","[45.0, 72.01145915590261]","['W2', 6.2414928114546875, [1.301644814486478]]","['Wp2', -8.981654592596529, [1.9409734063773567]]"
"['HR_iVL', 'HL_VR']","[0.1, 0.9]","[45.0, 90.0]","['W1', 6.349852423280355, [2.628443233398864]]","['Wp2', -15.423035092903127, [3.0059769244558336]]"
"['HR_iVL', 'HL_VR']","[0.2, 0.8]","[45.0, 54.022918311805235]","['W6', 14.940674764286634, [0.4279065536849411]]","['Wp2', -2.4237957749145056, [2.7353970931459592]]"
"['HR_iVL', 'HL_VR']","[0.2, 0.8]","[45.0, 72.01145915590261]","['W1', 5.124976508363663, [2.957190719875055]]","['Wp2', -7.713696660655275, [0.8146550317164206]]"
"['HR_iVL', 'HL_VR']","[0.2, 0.8]","[45.0, 90.0]","['W1', 5.229527727492697, [1.3555992552317389]]","['Wp2', -13.385907920067188, [3.052388315449383]]"
"['HR_iVL', 'HL_VR']","[0.3, 0.7]","[45.0, 54.022918311805235]","['W1', 3.918122038354345, [2.1439941681377626]]","['Wp2', -1.973491246773538, [2.497687218350593]]"
"['HR_iVL', 'HL_VR']","[0.3, 0.7]","[45.0, 72.01145915590261]","['W2', 4.0517501899140385, [2.174367862495558]]","['Wp2', -6.382182130820743, [0.37124873166389616]]"
"['HR_iVL', 'HL_VR']","[0.3, 0.7]","[45.0, 90.0]","['W2', 4.145356507664555, [0.5546181497460665]]","['Wp2', -11.212849195227165, [1.578021592681209]]"
"['HR_iVL', 'HL_VR']","[0.4, 0.6]","[45.0, 54.022918311805235]","['W1', 2.947191535189734, [2.7409961184173643]]","['Wp2', -1.5304958686170775, [0.12759858101640645]]"
"['HR_iVL', 'HL_VR']","[0.4, 0.6]","[45.0, 72.01145915590261]","['W1', 3.0567544899017287, [1.2886657644013577]]","['Wp2', -5.034896319425851, [0.3849821115765687]]"
"['HR_iVL', 'HL_VR']","[0.4, 0.6]","[45.0, 90.0]","['W1', 3.134505422051648, [2.73711636381885]]","['Wp2', -8.971567806422923, [2.730187498868123]]"
"['HR_iVL', 'HL_VR']","[0.5, 0.5]","[45.0, 54.022918311805235]","['W1', 2.0861534051673574, [1.6072808751107706]]","['Wp2', -1.113366766508002, [1.536589903571108]]"
"['HR_iVL', 'HL_VR']","[0.5, 0.5]","[45.0, 72.01145915590261]","['W2', 2.1689903421089824, [1.1949046116240996]]","['Wp2', -3.7272368726029317, [2.783720681901259]]"
"['HR_iVL', 'HL_VR']","[0.5, 0.5]","[45.0, 90.0]","['W2', 2.228399842868207, [1.7106743180914656]]","['Wp2', -6.746075574021573, [2.9652458279963625]]"
"['HR_iVL', 'HD_iVA']","[0.1, 0.9]","[45.0, 0.057295779513082325]","['W6', 4.259991470358124, [1.9199363812547992]]","['Wp3', -0.017587009845023906, [0.08200133063259102]]"
"['HR_iVL', 'HD_iVA']","[0.1, 0.9]","[45.0, 18.045836623610466]","['W6', 5.234399654353828, [1.2227758014605867]]","['Wp3', -6.101894956206912, [3.103193520354549]]"
"['HR_iVL', 'HD_iVA']","[0.1, 0.9]","[45.0, 36.03437746770785]","['W2', 5.823259350070218, [0.9458461998030657]]","['Wp3', -12.718622108367299, [2.6226429249705006]]"
"['HR_iVL', 'HD_iVA']","[0.1, 0.9]","[45.0, 54.022918311805235]","['W1', 6.081500181209693, [2.3881347331401224]]","['Wp3', -19.526261609101475, [2.349752008276104]]"
"['HR_iVL', 'HD_iVA']","[0.1, 0.9]","[45.0, 72.01145915590261]","['W1', 6.241492811454687, [2.14386651835544]]","['Wp3', -26.421455468904522, [0.8334976010404263]]"
"['HR_iVL', 'HD_iVA']","[0.1, 0.9]","[45.0, 90.0]","['W2', 6.349852423280353, [2.2717677394653513]]","['Wp3', -33.363626632623394, [2.0109378564105906]]"
"['HR_iVL', 'HD_iVA']","[0.2, 0.8]","[45.0, 0.057295779513082325]","['W6', 3.4160980956185725, [1.714568550301005]]","['Wp3', -0.014751296430370403, [2.7400163396344914]]"
"['HR_iVL', 'HD_iVA']","[0.2, 0.8]","[45.0, 18.045836623610466]","['W1', 4.313373863548283, [1.8445200209567134]]","['Wp3', -5.270576556808003, [1.7896173224134246]]"
"['HR_iVL', 'HD_iVA']","[0.2, 0.8]","[45.0, 36.03437746770785]","['W1', 4.735203887113146, [0.8933830333077628]]","['Wp3', -11.1603397796928, [2.633771276974825]]"
"['HR_iVL', 'HD_iVA']","[0.2, 0.8]","[45.0, 54.022918311805235]","['W1', 4.973386508208563, [2.9206618209136948]]","['Wp3', -17.294285935826306, [2.208711206540835]]"
"['HR_iVL', 'HD_iVA']","[0.2, 0.8]","[45.0, 72.01145915590261]","['W1', 5.1249765083636625, [2.462643065639942]]","['Wp3', -23.543508610143718, [1.0072215893512282]]"
"['HR_iVL', 'HD_iVA']","[0.2, 0.8]","[45.0, 90.0]","['W1', 5.2295277274926955, [1.4352775252735734]]","['Wp3', -29.855465263089787, [1.581592015540842]]"
"['HR_iVL', 'HD_iVA']","[0.3, 0.7]","[45.0, 0.057295779513082325]","['W1', 2.6488888388156613, [1.849998528437369]]","['Wp3', -0.01189819101186232, [2.018647677296368]]"
"['HR_iVL', 'HD_iVA']","[0.3, 0.7]","[45.0, 18.045836623610466]","['W2', 3.3610293048798394, [0.9567125246758653]]","['Wp3', -4.3898558259138145, [0.4048548702436197]]"
"['HR_iVL', 'HD_iVA']","[0.3, 0.7]","[45.0, 36.03437746770785]","['W2', 3.7127777014985828, [2.318135157609424]]","['Wp3', -9.475031122683562, [2.4019395953770086]]"
"['HR_iVL', 'HD_iVA']","[0.3, 0.7]","[45.0, 54.022918311805235]","['W1', 3.918122038354345, [1.7839967735539901]]","['Wp3', -14.857390241219989, [1.2637743354987432]]"
"['HR_iVL', 'HD_iVA']","[0.3, 0.7]","[45.0, 72.01145915590261]","['W1', 4.051750189913992, [3.1079085546424983]]","['Wp3', -20.38561001100966, [3.08410488432319]]"
"['HR_iVL', 'HD_iVA']","[0.3, 0.7]","[45.0, 90.0]","['W2', 4.1453565076645535, [0.6028532995450568]]","['Wp3', -25.99479697515155, [2.644429723770159]]"
"['HR_iVL', 'HD_iVA']","[0.4, 0.6]","[45.0, 18.045836623610466]","['W1', 2.5058959569037653, [1.5702246713790398]]","['Wp3', -3.489212423342882, [0.31227604966097466]]"
"['HR_iVL', 'HD_iVA']","[0.4, 0.6]","[45.0, 36.03437746770785]","['W2', 2.7818407056665064, [1.9478466110352064]]","['Wp3', -7.705310083936987, [2.453493251672087]]"
"['HR_iVL', 'HD_iVA']","[0.4, 0.6]","[45.0, 54.022918311805235]","['W1', 2.9471915351897335, [2.223681849450226]]","['Wp3', -12.264813610548071, [1.6826001665372767]]"
"['HR_iVL', 'HD_iVA']","[0.4, 0.6]","[45.0, 72.01145915590261]","['W2', 3.0567544899017314, [2.0936804611536806]]","['Wp3', -17.001945404560487, [1.24428366781008]]"
"['HR_iVL', 'HD_iVA']","[0.4, 0.6]","[45.0, 90.0]","['W1', 3.1345054220516464, [0.8114597657921945]]","['Wp3', -21.840507103828916, [0.5416065743361376]]"
"['HR_iVL', 'HD_iVA']","[0.5, 0.5]","[45.0, 18.045836623610466]","['W2', 1.761391581383681, [1.105947142305257]]","['Wp3', -2.6041731130605292, [2.3764803237346728]]"
"['HR_iVL', 'HD_iVA']","[0.5, 0.5]","[45.0, 36.03437746770785]","['W2', 1.9629237624877742, [2.3411484341429873]]","['Wp3', -5.906733367516042, [2.767546876427984]]"
"['HR_iVL', 'HD_iVA']","[0.5, 0.5]","[45.0, 54.022918311805235]","['W2', 2.0861534051673574, [1.2912220356891237]]","['Wp3', -9.581634732521273, [2.1203529428991357]]"
"['HR_iVL', 'HD_iVA']","[0.5, 0.5]","[45.0, 72.01145915590261]","['W1', 2.168990342108981, [0.8226271504422089]]","['Wp3', -13.463328994736717, [2.8189907675412464]]"
"['HR_iVL', 'HD_iVA']","[0.5, 0.5]","[45.0, 90.0]","['W2', 2.228399842868206, [0.8058711542785497]]","['Wp3', -17.46808442363038, [2.8477726930522342]]"
"['HR_iVL', 'HA_iVD']","[0.1, 0.9]","[45.0, 0.057295779513082325]","['W5', 4.259991470359142, [2.5165859112848135]]","['Wp3', -0.017587009845027486, [1.33059749396091]]"
"['HR_iVL', 'HA_iVD']","[0.1, 0.9]","[45.0, 18.045836623610466]","['W5', 5.234399654353827, [2.367648686349292]]","['Wp3', -6.101894956206921, [2.3982983988780675]]"
"['HR_iVL', 'HA_iVD']","[0.1, 0.9]","[45.0, 36.03437746770785]","['W2', 5.823259350070218, [1.801240147760758]]","['Wp3', -12.71862210836731, [0.2555883644599826]]"
"['HR_iVL', 'HA_iVD']","[0.1, 0.9]","[45.0, 54.022918311805235]","['W1', 6.08150018120969, [2.846915544012028]]","['Wp3', -19.526261609101475, [2.345452138509693]]"
"['HR_iVL', 'HA_iVD']","[0.1, 0.9]","[45.0, 72.01145915590261]","['W2', 6.2414928114546875, [2.5397118224913062]]","['Wp3', -26.421455468904526, [1.6024709142066174]]"
"['HR_iVL', 'HA_iVD']","[0.1, 0.9]","[45.0, 90.0]","['W2', 6.349852423280353, [1.0904538458442858]]","['Wp3', -33.36362663262341, [1.2610372653730955]]"
"['HR_iVL', 'HA_iVD']","[0.2, 0.8]","[45.0, 0.057295779513082325]","['W5', 3.416098095618522, [0.8219983620813078]]","['Wp3', -0.014751296430384376, [0.519309454197416]]"
"['HR_iVL', 'HA_iVD']","[0.2, 0.8]","[45.0, 18.045836623610466]","['W2', 4.313373863548283, [2.550842645982878]]","['Wp3', -5.270576556808003, [0.13006499613426192]]"
"['HR_iVL', 'HA_iVD']","[0.2, 0.8]","[45.0, 36.03437746770785]","['W2', 4.735203887113161, [2.3733169906227576]]","['Wp3', -11.160339779692794, [2.6607932197550688]]"
"['HR_iVL', 'HA_iVD']","[0.2, 0.8]","[45.0, 54.022918311805235]","['W1', 4.973386508208561, [2.759794995757152]]","['Wp3', -17.29428593582629, [0.38936925369954756]]"
"['HR_iVL', 'HA_iVD']","[0.2, 0.8]","[45.0, 72.01145915590261]","['W1', 5.124976508363675, [2.469586765696448]]","['Wp3', -23.543508610143725, [1.3939790787625737]]"
"['HR_iVL', 'HA_iVD']","[0.2, 0.8]","[45.0, 90.0]","['W2', 5.229527727492695, [1.4043572515101876]]","['Wp3', -29.85546526308977, [0.7642854378285914]]"
"['HR_iVL', 'HA_iVD']","[0.3, 0.7]","[45.0, 0.057295779513082325]","['W2', 2.6488888388156613, [0.983755713834766]]","['Wp3', -0.01189819101186563, [1.6184681973517734]]"
"['HR_iVL', 'HA_iVD']","[0.3, 0.7]","[45.0, 18.045836623610466]","['W2', 3.361029304879839, [2.387315480179563]]","['Wp3', -4.389855825913816, [0.4381004376066689]]"
"['HR_iVL', 'HA_iVD']","[0.3, 0.7]","[45.0, 36.03437746770785]","['W1', 3.712777701498582, [2.7790029683061777]]","['Wp3', -9.47503112268474, [0.5231494459598935]]"
"['HR_iVL', 'HA_iVD']","[0.3, 0.7]","[45.0, 54.022918311805235]","['W1', 3.918122038354345, [2.8902224677321104]]","['Wp3', -14.857390241220191, [2.2407519149663817]]"
"['HR_iVL', 'HA_iVD']","[0.3, 0.7]","[45.0, 72.01145915590261]","['W2', 4.051750189913992, [1.8333873092861463]]","['Wp3', -20.385610011009646, [0.29537415220158264]]"
"['HR_iVL', 'HA_iVD']","[0.3, 0.7]","[45.0, 90.0]","['W2', 4.145356507664554, [2.801666779519573]]","['Wp3', -25.994796975151555, [0.8977105247639345]]"
"['HR_iVL', 'HA_iVD']","[0.4, 0.6]","[45.0, 18.045836623610466]","['W1', 2.5058959569037667, [2.976102864587188]]","['Wp3', -3.489212423342878, [2.037465790701536]]"
"['HR_iVL', 'HA_iVD']","[0.4, 0.6]","[45.0, 36.03437746770785]","['W2', 2.7818407056665064, [1.4384820416415252]]","['Wp3', -7.705310083936991, [2.443430154536158]]"
"['HR_iVL', 'HA_iVD']","[0.4, 0.6]","[45.0, 54.022918311805235]","['W2', 2.9471915351897318, [2.757057300986717]]","['Wp3', -12.26481361054808, [1.385615290168547]]"
"['HR_iVL', 'HA_iVD']","[0.4, 0.6]","[45.0, 72.01145915590261]","['W1', 3.0567544899017296, [2.628723436935351]]","['Wp3', -17.001945404560487, [1.3386876575174345]]"
"['HR_iVL', 'HA_iVD']","[0.4, 0.6]","[45.0, 90.0]","['W1', 3.1345054220516477, [1.9254695116204448]]","['Wp3', -21.840507103828905, [0.48679562903372686]]"
"['HR_iVL', 'HA_iVD']","[0.5, 0.5]","[45.0, 18.045836623610466]","['W2', 1.7613915813836807, [2.450988754367964]]","['Wp3', -2.6041731130605403, [2.1670326060773384]]"
"['HR_iVL', 'HA_iVD']","[0.5, 0.5]","[45.0, 36.03437746770785]","['W1', 1.9629237624877747, [1.3794325888333336]]","['Wp3', -5.906733367516043, [1.6031273442758762]]"
"['HR_iVL', 'HA_iVD']","[0.5, 0.5]","[45.0, 54.022918311805235]","['W1', 2.086153405167358, [3.090767897803946]]","['Wp3', -9.581634732521266, [2.10701083408945]]"
"['HR_iVL', 'HA_iVD']","[0.5, 0.5]","[45.0, 72.01145915590261]","['W1', 2.168990342108982, [1.444367780374656]]","['Wp3', -13.463328994736724, [0.016966397609350873]]"
"['HR_iVL', 'HA_iVD']","[0.5, 0.5]","[45.0, 90.0]","['W2', 2.228399842868206, [1.208921184733946]]","['Wp3', -17.46808442363039, [2.391808379765429]]"
"['HL_VR', 'phi plus, phi minus']","[0.1, 0.9]","[45.0, 0.057295779513082325]","['W2', 0.021979779377685027, [1.9142446496215129]]","['Wp2', -17.596493271968505, [0.6605981786020227]]"
"['HL_VR', 'phi plus, phi minus']","[0.1, 0.9]","[45.0, 18.045836623610466]","['W2', 4.256820764335048, [1.6200493720296811]]","['Wp2', -8.70878471910438, [3.102863165988251]]"
"['HL_VR', 'phi plus, phi minus']","[0.2, 0.8]","[45.0, 0.057295779513082325]","['W2', 0.01891343772523335, [2.0466891805847176]]","['Wp2', -16.112995738321608, [0.779857366795805]]"
"['HL_VR', 'phi plus, phi minus']","[0.2, 0.8]","[45.0, 18.045836623610466]","['W2', 3.4083636342568773, [1.1864158295863974]]","['Wp2', -7.559574043053273, [3.119360479506884]]"
"['HL_VR', 'phi plus, phi minus']","[0.3, 0.7]","[45.0, 0.057295779513082325]","['W2', 0.015217408244329267, [2.125435954142441]]","['Wp2', -14.4687543152552, [1.532382735781113]]"
"['HL_VR', 'phi plus, phi minus']","[0.3, 0.7]","[45.0, 18.045836623610466]","['W2', 2.6432132438598863, [3.031383296167622]]","['Wp2', -6.491394823739244, [2.609057652400722]]"
"['HL_VR', 'phi plus, phi minus']","[0.4, 0.6]","[45.0, 0.057295779513082325]","['W2', 0.011257726520898181, [2.4758096959810616]]","['Wp2', -12.680156991668172, [2.280265648376981]]"
"['HL_VR', 'phi plus, phi minus']","[0.4, 0.6]","[45.0, 18.045836623610466]","['W2', 1.964740473543414, [1.3943145456627064]]","['Wp2', -5.517289018226895, [1.7352281576283697]]"
"['HL_VR', 'phi plus, phi minus']","[0.4, 0.6]","[45.0, 36.03437746770785]","['W2', 0.08498720849384345, [2.3777753719055434]]","['Wp1', -2.0885242975923024, [2.7198356761863423]]"
"['HL_VR', 'phi plus, phi minus']","[0.5, 0.5]","[45.0, 18.045836623610466]","['W2', 1.3635937350446121, [2.977538672166041]]","['Wp2', -4.6280657723143905, [2.0365659478521425]]"
"['HL_VR', 'phi plus, phi minus']","[0.5, 0.5]","[45.0, 36.03437746770785]","['W2', 0.4649085644401131, [1.9844941829999603]]","['Wp1', -1.7557644267027288, [0.7452729618366154]]"
"['HL_VR', 'psi plus, psi minus']","[0.1, 0.9]","[45.0, 0.057295779513082325]","['W1', 0.021979779377685027, [2.3010239976358524]]","['Wp2', -17.596493271968473, [1.35188508635026]]"
"['HL_VR', 'psi plus, psi minus']","[0.1, 0.9]","[45.0, 18.045836623610466]","['W1', 4.25682076433505, [2.9383738437201794]]","['Wp2', -8.708784719104376, [2.732811905439625]]"
"['HL_VR', 'psi plus, psi minus']","[0.2, 0.8]","[45.0, 0.057295779513082325]","['W6', 0.020853964832328487, [0.3533009900155982]]","['Wp2', -16.112995738321608, [1.608509633311207]]"
"['HL_VR', 'psi plus, psi minus']","[0.2, 0.8]","[45.0, 18.045836623610466]","['W1', 3.408363634256884, [2.7614869336993006]]","['Wp2', -7.55957404305327, [0.3597564566794325]]"
"['HL_VR', 'psi plus, psi minus']","[0.3, 0.7]","[45.0, 0.057295779513082325]","['W2', 0.01918248259544164, [0.46105101882537186]]","['Wp2', -14.468754315255204, [3.103389855849224]]"
"['HL_VR', 'psi plus, psi minus']","[0.3, 0.7]","[45.0, 18.045836623610466]","['W1', 2.643213243859888, [2.7834877957199318]]","['Wp2', -6.491394823739223, [0.946192213211215]]"
"['HL_VR', 'psi plus, psi minus']","[0.4, 0.6]","[45.0, 0.057295779513082325]","['W1', 0.011257726520898403, [2.1534385037391304]]","['Wp2', -12.68015699166817, [0.46137059050723894]]"
