states,eta-chi,probabilities,W,Wp
"['psi plus, psi minus', 'HA_iVD']","[0.2, 0.8]","[45.0, 72.01145915590261]","['W1', 3.227662936317822, [2.374115947993955]]","['Wp3', -4.551552158448581, [2.7542782315607717]]"
"['psi plus, psi minus', 'HA_iVD']","[0.2, 0.8]","[45.0, 90.0]","['W1', 6.167790635102711, [1.3451980861890402]]","['Wp3', -10.936169915615247, [1.8793725315109822]]"
"['psi plus, psi minus', 'HA_iVD']","[0.3, 0.7]","[45.0, 72.01145915590261]","['W1', 2.5688826539592675, [0.7420951101508381]]","['Wp3', -3.5581460105414418, [0.07385404321453509]]"
"['psi plus, psi minus', 'HA_iVD']","[0.3, 0.7]","[45.0, 90.0]","['W1', 4.8151248786712015, [2.4418892719469074]]","['Wp3', -9.172793020324379, [1.1146479551540227]]"
"['psi plus, psi minus', 'HA_iVD']","[0.4, 0.6]","[45.0, 72.01145915590261]","['W1', 2.1554600879374726, [1.7338826667370015]]","['Wp3', -3.0315478105578584, [0.09896560953079181]]"
"['psi plus, psi minus', 'HA_iVD']","[0.4, 0.6]","[45.0, 90.0]","['W1', 3.6937166397554275, [2.550858238564283]]","['Wp3', -7.76269121154852, [2.0392095682046105]]"
"['psi plus, psi minus', 'HA_iVD']","[0.5, 0.5]","[45.0, 54.022918311805235]","['W1', 0.361826755050795, [1.2544426610887733]]","['Wp1', -2.467820354660248, [1.5714793477267905]]"
"['psi plus, psi minus', 'HA_iVD']","[0.5, 0.5]","[45.0, 72.01145915590261]","['W1', 1.815232084431392, [0.718083233966744]]","['Wp3', -2.8802259480487087, [0.6771959163546587]]"
"['psi plus, psi minus', 'HA_iVD']","[0.5, 0.5]","[45.0, 90.0]","['W1', 2.706941268488091, [2.7870466347063516]]","['Wp3', -6.656325212121178, [1.6147626510796673]]"
"['HR_VL', 'HR_iVL']","[0.1, 0.9]","[45.0, 18.045836623610466]","['W1', 2.5838455870411097, [1.3008453769364]]","['Wp2', -17.62485546661837, [2.870998127319754]]"
"['HR_VL', 'HR_iVL']","[0.1, 0.9]","[45.0, 36.03437746770785]","['W2', 4.8884568847748415, [0.8671278933052049]]","['Wp2', -17.624855466618364, [1.6573665296823366]]"
"['HR_VL', 'HR_iVL']","[0.1, 0.9]","[45.0, 54.022918311805235]","['W5', 7.022653367975047, [0.9889964325608055]]","['Wp2', -17.62485546661837, [1.8526429201013057]]"
"['HR_VL', 'HR_iVL']","[0.1, 0.9]","[45.0, 72.01145915590261]","['W5', 9.046130854072947, [1.74723152536848]]","['Wp2', -17.624855466618364, [0.16538208022793485]]"
"['HR_VL', 'HR_iVL']","[0.1, 0.9]","[45.0, 90.0]","['W5', 10.994968917586048, [2.9537970802853297]]","['Wp2', -17.624855466618367, [1.3376378302250385]]"
"['HR_VL', 'HR_iVL']","[0.2, 0.8]","[45.0, 18.045836623610466]","['W5', 2.133770265812753, [1.4282514293999886]]","['Wp2', -16.140512045239255, [0.5481041147199752]]"
"['HR_VL', 'HR_iVL']","[0.2, 0.8]","[45.0, 36.03437746770785]","['W1', 3.999982564831944, [1.4095347343214202]]","['Wp2', -16.14051204523925, [2.1671584913981246]]"
"['HR_VL', 'HR_iVL']","[0.2, 0.8]","[45.0, 54.022918311805235]","['W5', 5.7135474978537815, [2.2454217231482065]]","['Wp2', -16.140512045239255, [1.987359587369084]]"
"['HR_VL', 'HR_iVL']","[0.2, 0.8]","[45.0, 72.01145915590261]","['W1', 7.332540283937631, [2.136115485814041]]","['Wp2', -16.140512045239255, [2.3965694095663608]]"
"['HR_VL', 'HR_iVL']","[0.2, 0.8]","[45.0, 90.0]","['W1', 8.889785965624256, [2.6266482238507565]]","['Wp2', -16.140512045239255, [1.7113985579525608]]"
"['HR_VL', 'HR_iVL']","[0.3, 0.7]","[45.0, 18.045836623610466]","['W6', 1.6955699763309582, [0.5748263773910539]]","['Wp2', -14.494897962848045, [1.1450017297543247]]"
"['HR_VL', 'HR_iVL']","[0.3, 0.7]","[45.0, 36.03437746770785]","['W2', 3.1527765836423676, [1.9345526282409464]]","['Wp2', -14.494897962848047, [2.417142383469494]]"
"['HR_VL', 'HR_iVL']","[0.3, 0.7]","[45.0, 54.022918311805235]","['W2', 4.481843800360645, [1.005380016139399]]","['Wp2', -14.494897962848045, [1.5420341857821924]]"
"['HR_VL', 'HR_iVL']","[0.3, 0.7]","[45.0, 72.01145915590261]","['W2', 5.7344982241913645, [1.3898552305221192]]","['Wp2', -14.494897962848043, [2.3713912772940557]]"
"['HR_VL', 'HR_iVL']","[0.3, 0.7]","[45.0, 90.0]","['W5', 6.938465801203257, [2.8625052746501938]]","['Wp2', -14.494897962848043, [1.7746384564237687]]"
"['HR_VL', 'HR_iVL']","[0.4, 0.6]","[45.0, 18.045836623610466]","['W1', 1.2848675790646924, [2.176965430923003]]","['Wp2', -12.70445565138829, [0.17302638076825558]]"
"['HR_VL', 'HR_iVL']","[0.4, 0.6]","[45.0, 36.03437746770785]","['W5', 2.3724583613430976, [2.8520157589389674]]","['Wp2', -12.704455651388297, [0.2537751572803271]]"
"['HR_VL', 'HR_iVL']","[0.4, 0.6]","[45.0, 54.022918311805235]","['W6', 3.359266116910059, [3.084480131735028]]","['Wp2', -12.704455651388297, [2.2399106626721004]]"
"['HR_VL', 'HR_iVL']","[0.4, 0.6]","[45.0, 72.01145915590261]","['W1', 4.287767834009425, [2.621208996196948]]","['Wp2', -12.704455651388294, [1.8128504248350996]]"
