start time (s),stop time (s),num samples (#),period per sample (s),C_UV_HWP position (deg),C_QP position (deg),C_PCC position (deg),B_C_HWP position (deg),B_HWP position (deg),B_QWP position (deg),A_HWP position (deg),A_QWP position (deg),A rate (#/s),B rate (#/s),A' rate (#/s),B' rate (#/s),C4 rate (#/s),C5 rate (#/s),C6 rate (#/s),C7 rate (#/s),A rate SEM (#/s),B rate SEM (#/s),A' rate SEM (#/s),B' rate SEM (#/s),C4 rate SEM (#/s),C5 rate SEM (#/s),C6 rate SEM (#/s),C7 rate SEM (#/s),note
2023-07-10_18-33-53,2023-07-10_18-33-58,5,1,53.53041294642857,328.93443080357144,4.005301339285714,44.997488839285715,0.0006152343750045475,135.00184814453127,44.999856567382814,359.9980078125,11854.0,27762.0,0.0,12130.2,307.2,0.0,127.2,0.0,72.06732963000641,97.02989230129032,0.0,49.10641505954187,5.526300751859239,0.0,2.353720459187964,0.0,VL
2023-07-10_18-34-17,2023-07-10_18-34-22,5,1,53.53041294642857,328.93443080357144,4.005301339285714,44.997488839285715,0.0006152343750045475,359.9995593261719,67.50248870849609,359.9980078125,23208.4,13831.6,0.0,18576.2,312.6,0.0,503.8,0.0,61.999677418515645,42.06732698900656,0.0,48.926884225341794,5.635601121442147,0.0,8.777243302996675,0.0,DH
2023-07-10_18-34-28,2023-07-10_18-34-33,5,1,53.53041294642857,328.93443080357144,4.005301339285714,44.997488839285715,45.0012141418457,4.76074218767053e-05,67.49988708496093,359.9980078125,23270.0,41387.4,0.0,6068.4,1116.0,0.0,148.2,0.0,49.33355855804444,91.87088766306766,0.0,23.31222855069845,10.242070103255493,0.0,5.053711507397311,0.0,DV
2023-07-10_18-34-37,2023-07-10_18-34-42,5,1,53.53041294642857,328.93443080357144,4.005301339285714,44.997488839285715,67.50228607177735,4.76074218767053e-05,67.49988708496093,359.9980078125,23300.2,27255.2,0.0,12345.0,758.6,0.0,284.4,0.0,89.24034961832007,97.14288445377765,0.0,41.53793446959057,6.539113089708725,0.0,7.7884529914483025,0.0,DD
2023-07-10_18-34-49,2023-07-10_18-34-54,5,1,53.53041294642857,328.93443080357144,4.005301339285714,44.997488839285715,22.498576278686524,4.76074218767053e-05,67.49988708496093,359.9980078125,23254.0,27967.0,0.0,12096.0,667.4,0.0,344.2,0.0,83.67257615252443,32.343469201679646,0.0,74.43722187185655,13.040705502387514,0.0,7.109149034870488,0.0,DA
2023-07-10_18-35-04,2023-07-10_18-35-09,5,1,53.53041294642857,328.93443080357144,4.005301339285714,44.997488839285715,0.0006152343750045475,45.00224487304688,67.49988708496093,359.9980078125,23252.8,27339.2,0.0,12373.2,1266.4,0.0,82.0,0.0,81.74313426826744,60.180893978072476,0.0,51.122793350911486,15.419468213917106,0.0,2.701851217221259,0.0,DR
2023-07-10_18-35-19,2023-07-10_18-35-25,5,1,53.53041294642857,328.93443080357144,4.005301339285714,44.997488839285715,0.0006152343750045475,135.00184814453127,67.49988708496093,359.9980078125,23073.6,27784.0,0.0,12186.4,178.8,0.0,571.6,0.0,53.02508840162362,56.72124822321878,0.0,68.44603713875624,7.045565981523414,0.0,12.068968472906041,0.0,DL
2023-07-10_18-35-47,2023-07-10_18-35-52,5,1,53.53041294642857,328.93443080357144,4.005301339285714,44.997488839285715,0.0006152343750045475,359.9995593261719,22.49982604980469,359.9980078125,24528.6,13870.6,0.0,18637.4,298.8,0.0,532.2,0.0,62.57843078889083,48.433046569465354,0.0,60.1070711314401,6.748333127521196,0.0,8.272847151978572,0.0,AH
2023-07-10_18-35-58,2023-07-10_18-36-03,5,1,53.53041294642857,328.93443080357144,4.005301339285714,44.997488839285715,45.0012141418457,4.76074218767053e-05,22.49982604980469,359.9980078125,24767.4,41522.2,0.0,6122.4,1194.8,0.0,131.2,0.0,86.6271320083956,96.75918561046284,0.0,37.51746260076766,13.286835590162164,0.0,3.7603191353926326,0.0,AV
2023-07-10_18-36-07,2023-07-10_18-36-12,5,1,53.53041294642857,328.93443080357144,4.005301339285714,44.997488839285715,67.50228607177735,4.76074218767053e-05,22.49982604980469,359.9980078125,24684.6,27571.4,0.0,12516.8,674.2,0.0,390.8,0.0,41.912527960026466,99.52818696228722,0.0,77.22201758566011,11.18659912573969,0.0,7.330757123244502,0.0,AD
2023-07-10_18-36-19,2023-07-10_18-36-24,5,1,53.53041294642857,328.93443080357144,4.005301339285714,44.997488839285715,22.498576278686524,4.76074218767053e-05,22.49982604980469,359.9980078125,24644.2,28148.4,0.0,12313.4,831.0,0.0,292.6,0.0,84.7823094755032,44.26239939271254,0.0,27.078773975200576,6.760177512462228,0.0,4.822862220714997,0.0,AA
2023-07-10_18-36-34,2023-07-10_18-36-40,5,1,53.53041294642857,328.93443080357144,4.005301339285714,44.997488839285715,9.643554687954747e-05,45.00224487304688,22.49982604980469,359.9980078125,24726.8,27357.6,0.0,12236.0,175.6,0.0,583.6,0.0,54.87294415283365,46.472142192931024,0.0,87.76103919165953,3.586084215408221,0.0,9.341306118525397,0.0,AR
2023-07-10_18-36-50,2023-07-10_18-36-56,5,1,53.53041294642857,328.93443080357144,4.005301339285714,44.997488839285715,0.0006152343750045475,135.00184814453127,22.49982604980469,359.9980078125,24697.8,27751.8,0.0,12231.0,1269.6,0.0,87.6,0.0,83.15972582927387,95.68824379201449,0.0,13.026895255585652,18.66172553650921,0.0,2.5806975801127883,0.0,AL
2023-07-10_18-37-21,2023-07-10_18-37-26,5,1,53.53041294642857,328.93443080357144,4.005301339285714,44.997488839285715,0.0006152343750045475,359.9995593261719,0.00032958984377273737,45.0005712890625,23448.0,13817.0,0.0,18688.4,330.2,0.0,508.4,0.0,133.5713292589394,68.32056791333046,0.0,58.369169944415006,8.90730037665734,0.0,12.347469376354004,0.0,RH
2023-07-10_18-37-32,2023-07-10_18-37-37,5,1,53.53041294642857,328.93443080357144,4.005301339285714,44.997488839285715,45.0012141418457,4.76074218767053e-05,0.00032958984377273737,45.0005712890625,23390.4,41531.8,0.0,6121.4,1102.6,0.0,153.2,0.0,88.7905400366503,150.44646888511542,0.0,21.680867141329934,11.452510641776326,0.0,5.660388679233962,0.0,RV
2023-07-10_18-37-41,2023-07-10_18-37-46,5,1,53.53041294642857,328.93443080357144,4.005301339285714,44.997488839285715,67.50228607177735,4.76074218767053e-05,0.00032958984377273737,45.0005712890625,23460.2,27604.6,0.0,12461.6,137.0,0.0,583.2,0.0,26.513015671552715,60.79276272715364,0.0,64.19781927760475,5.118593556827891,0.0,12.117755567760886,0.0,RD
2023-07-10_18-37-53,2023-07-10_18-37-58,5,1,53.53041294642857,328.93443080357144,4.005301339285714,44.997488839285715,22.498576278686524,4.76074218767053e-05,0.00032958984377273737,45.0005712890625,23485.6,28112.8,0.0,12344.6,1279.6,0.0,77.6,0.0,28.141783880912737,87.31632149833156,0.0,37.48146208460924,11.732859838931,0.0,3.3105890714493698,0.0,RA
2023-07-10_18-38-08,2023-07-10_18-38-13,5,1,53.53041294642857,328.93443080357144,4.005301339285714,44.997488839285715,9.643554687954747e-05,45.00224487304688,0.00032958984377273737,45.0005712890625,23577.8,27401.6,0.0,12501.4,782.4,0.0,306.0,0.0,59.93780109413424,84.53792048542476,0.0,29.128336718734904,23.888490952757984,0.0,5.576737397439474,0.0,RR
2023-07-10_18-38-24,2023-07-10_18-38-29,5,1,53.53041294642857,328.93443080357144,4.005301339285714,44.997488839285715,0.0006152343750045475,135.00184814453127,0.00032958984377273737,45.0005712890625,23433.8,27939.6,0.0,12256.6,655.0,0.0,361.4,0.0,49.32281419383934,41.090874899422616,0.0,18.10414317221337,10.977249200050075,0.0,3.558089374931439,0.0,RL
2023-07-10_18-38-55,2023-07-10_18-39-00,5,1,53.53041294642857,328.93443080357144,4.005301339285714,44.997488839285715,0.0006152343750045475,4.76074218767053e-05,0.00032958984377273737,135.0013037109375,23428.0,13867.8,0.0,18638.0,319.8,0.0,460.2,0.0,59.34728300436339,43.85704048382654,0.0,78.16712864113661,6.5222695436481315,0.0,12.47156766409099,0.0,LH
2023-07-10_18-39-06,2023-07-10_18-39-11,5,1,53.53041294642857,328.93443080357144,4.005301339285714,44.997488839285715,45.0012141418457,4.76074218767053e-05,0.00032958984377273737,135.00075439453124,23494.4,41704.8,0.0,6201.4,1018.6,0.0,142.0,0.0,35.08361440900866,60.37002567499868,0.0,23.28218202832372,11.263214461245068,0.0,1.9235384061671343,0.0,LV
