time (min),HH,VV,HH_err,VV_err
77,,1625.3333333333333,,3.2898497095020915
78,1539.3,,8.05079706198917,
79,,1632.8333333333333,,5.822580565732391
80,1539.5666666666666,,9.043217224958038,
81,,1623.966666666667,,4.7887135827670635
82,1541.8000000000002,,10.440178797958058,
83,,1630.9666666666665,,5.54001604490254
84,1542.0666666666666,,7.554365919416714,
85,,1624.8666666666668,,6.6975949248799616
86,1532.4333333333334,,8.89035682323517,
87,,1614.9333333333332,,11.960230395402547
88,1548.533333333333,,6.551471420816681,
89,,1627.9333333333334,,6.689029160581627
90,1551.2333333333333,,7.48659542857172,
91,,1646.2666666666664,,9.085323940901127
92,1552.5,,7.934019578162544,
93,,1623.7333333333333,,8.319081145842445
94,1559.466666666667,,6.380316954857686,
95,,1629.6666666666667,,5.887538629266989
96,1551.8999999999999,,7.059697821672922,
97,,1633.9666666666665,,3.0134881966105347
98,1554.1000000000001,,7.5044431283518,
99,,1617.6333333333334,,11.63883346579218
100,1563.033333333333,,5.105922487116744,
101,,1634.8333333333333,,7.505272220986461
102,1561.5,,6.973234543595978,
103,,1627.4333333333334,,5.648696998226924
104,1562.1000000000001,,5.5889772469268975,
105,,1623.8333333333333,,9.177859832831986
106,1551.2333333333333,,7.946389816206555,
107,,1619.7333333333333,,6.044869266116891
108,1536.8666666666668,,6.943518160446077,
109,,1627.0666666666666,,6.531292198162465
110,1537.5999999999997,,4.225951569370687,
111,,1612.3666666666668,,6.672614013846271
112,1545.1999999999998,,6.52768463290521,
113,,1621.2333333333333,,5.269387482852684
114,1540.2333333333336,,9.049849599732484,
115,,1614.8666666666668,,8.876135295148341
116,1536.8666666666668,,6.447462894641421,
117,,1612.2333333333333,,13.262017610873205
118,1538.2333333333333,,12.311124147606392,
119,,1629.2,,8.969280907631354
120,1541.9333333333332,,8.851766929702682,
121,,1616.0666666666666,,5.577972550826865
122,1532.8666666666668,,11.491755498810647,
123,,1621.3999999999999,,8.322339414691854
124,1541.0,,7.01103891493026,
125,,1620.1000000000001,,6.685456853000647
126,1535.3666666666668,,6.021166369105291,
127,,1631.966666666667,,8.031341385126412
128,1541.5666666666666,,3.0117178560490165,
129,,1623.4333333333334,,8.956698300403156
130,1535.1000000000001,,10.23624280029869,
131,,1629.6000000000001,,5.556497697890884
132,1532.7666666666667,,6.7873247879984255,
133,,1605.2666666666667,,6.159365046640602
134,1540.1999999999998,,4.3598165099003685,
135,,1623.4000000000003,,5.609991087336946
136,1548.7,,3.970810160827826,
137,,1623.7333333333333,,5.503614973613035
138,1529.1000000000001,,7.82282983751191,
139,,1629.9333333333332,,10.203485243342657
140,1537.0999999999997,,3.4006862052630864,
141,,1613.3999999999999,,10.222198067604333
142,1529.4333333333334,,3.1032957391206626,
143,,1620.6000000000001,,8.434374112325505
144,1532.0666666666666,,7.543061565291469,
145,,1629.9333333333334,,10.739542717349668
146,1539.466666666667,,10.232584120239506,
147,,1614.4333333333334,,5.233333333333325
148,1533.033333333333,,2.8290948689957154,
149,,1618.3,,8.131215571282464
150,1542.0666666666666,,4.243792852835502,
151,,1625.0,,6.365951094167582
152,1534.6666666666667,,5.417420460370821,
153,,1624.2333333333333,,7.6817388077902695
154,1530.1666666666667,,7.644504198732864,
155,,1630.7333333333333,,8.868170298570305
156,1540.2,,10.009861803907874,
157,,1632.3333333333333,,8.672818329573003
158,1541.1000000000001,,10.08665785414904,
159,,1635.1000000000001,,7.685961228109331
160,1542.0666666666668,,9.154476743345011,
161,,1631.0666666666666,,7.999444425152995
162,1518.0,,5.836665714829538,
163,,1631.3999999999999,,10.045098307134657
164,1536.9333333333334,,7.3645396627653685,
165,,1628.6666666666667,,13.43782389790518
166,1526.1333333333334,,7.37611761776554,
167,,1629.466666666667,,5.798313931173811
168,1537.8999999999999,,5.900677927153791,
169,,1630.5666666666666,,5.867064380458449
